Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	591.484	583.49	604.27	B(5.7400,6.0900,1e-300,0.0250)
t_n72	590.996	582.68	603.79	0
t_n73	568.471	561.72	577.48	0
t_n74	543.705	538.18	549.57	0
t_n75_HETEROSCLEROMORPHA	516.689	515.04	520.81	L(5.1500,0.5000,0.5000,1e-300)
t_n76	496.554	489.5	503.17	0
t_n77	474.376	460.89	485.45	0
t_n78	455.511	436.28	470.99	0
t_n79	425.887	397.75	448.66	0
t_n80	223.256	104.76	346.79	0
t_n81	410.679	379.4	436.63	0
t_n82	380.923	345.13	412.03	0
t_n83_THETHYA	347.102	306.93	383.57	L(0.3780,0.1000,0.5000,1e-300)
t_n84	121.145	58.61	197.27	0
t_n85	363.014	325.49	396.69	0
t_n86	271.878	194.47	330.76	0
t_n87	180.543	117.84	243.11	0
t_n88_POECILOSCLERIDA	218.2	199.63	254.93	L(1.9900,0.1000,0.5000,1e-300)
t_n89	197.508	176.93	233.34	0
t_n90	181.442	159.5	216.33	0
t_n91	144.91	119.84	177.89	0
t_n92	114.52	90.14	144.97	0
t_n93	98.592	76.25	126.6	0
t_n94_PHORBAS	76.423	57.51	100.36	L(0.3780,0.1000,0.5000,1e-300)
t_n95	55.927	40.67	75.77	0
t_n96	160.508	133.89	195.95	0
t_n97	96.756	71.98	127.16	0
t_n98	80.945	58.82	108.45	0
t_n99	65.431	46.41	89.64	0
t_n100	7.208	4.02	12.31	0
t_n101	155.794	65.96	256.3	0
t_n102	86.468	32.82	160.87	0
t_n103_ASTROPHORINA	302.114	263.11	349.6	L(1.9900,0.1000,0.5000,1e-300)
t_n104	229.253	205.57	265.07	0
t_n105_GEODIA	172.998	163.27	197.64	L(1.6300,0.1000,0.5000,1e-300)
t_n106	54.279	32.78	80.31	0
t_n107	121.203	101.4	144.61	0
t_n108	101.817	82.55	124.18	0
t_n109	65.656	49.55	84.89	0
t_n110	35.239	24.75	48.81	0
t_n111	2.236	1.25	3.79	0
t_n112_SPONGILLIDA	475.044	463	485.34	L(2.9800,0.1000,0.5000,1e-300)
t_n113	218.685	114.69	345.78	0
t_n114	363.38	333.66	390.36	0
t_n115	345.117	311.74	375.54	0
t_n116	314.379	279.92	347.62	0
t_n117	170.195	139.74	203.04	0
t_n118	100.024	72.96	132.72	0
t_n119	450.517	409.36	475.43	0
t_n120	401.213	338.32	445.46	0
t_n121	530.528	523.55	536.22	0
t_n122	162.39	65.48	319.51	0
t_n123	86.319	32.09	186.12	0
t_n124	58.064	20.7	130.74	0
t_n125	319.44	181.23	415.25	0
t_n126	173.153	87.17	263.53	0
t_n127	137.371	66.35	218.44	0
t_n128_HEXACTINELLIDA	447.771	445.07	454.92	L(4.4500,0.1000,0.5000,1e-300)
t_n129	433.521	419.64	444.51	0
t_n130	572.171	563.62	582.18	0
t_n131	507.857	435.36	540.28	0
t_n132	363.643	163.27	473.24	0
t_n133	150.452	50.94	280.77	0
t_n134	262.718	98.67	399.38	0
t_n135_EUMETAZOA	572.445	570.7	573.08	B(5.6100,5.7310,0.0250,1e-300)
t_n136	176.552	65.85	356.75	0
t_n137	557.065	554.03	560.02	0
t_n138_BILATERIA	533.705	532.05	538.14	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	536.312	532.02	542.72	L(5.3180,0.1000,0.1000,1e-300)
