Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	677.091	584.06	911.36	B(5.7400,6.0900,1e-300,0.0250)
t_n72	672.836	583.32	897.59	0
t_n73	629.781	562.29	805.57	0
t_n74	571.523	538.64	671.44	0
t_n75_HETEROSCLEROMORPHA	525.511	515.07	581.98	L(5.1500,0.5000,0.5000,1e-300)
t_n76	499.42	479.71	542.16	0
t_n77	473.557	445.67	507.32	0
t_n78	451.846	417.13	479.16	0
t_n79	418.362	373.32	449.51	0
t_n80	218.172	93.21	340.92	0
t_n81	402.9	356.7	437.02	0
t_n82	371.284	322.46	410.73	0
t_n83_THETHYA	337.499	288.51	381.25	L(0.3780,0.1000,0.5000,1e-300)
t_n84	128.143	60.86	209.54	0
t_n85	353.542	305.75	394.68	0
t_n86	264.397	188.76	327.01	0
t_n87	172.56	111.11	236.53	0
t_n88_POECILOSCLERIDA	214.206	199.36	249.39	L(1.9900,0.1000,0.5000,1e-300)
t_n89	193.706	175.76	227.99	0
t_n90	178.454	159.4	211.25	0
t_n91	142.074	119.2	173.38	0
t_n92	111.348	88.47	140.66	0
t_n93	95.879	75.08	122.75	0
t_n94_PHORBAS	74.458	56.85	97.4	L(0.3780,0.1000,0.5000,1e-300)
t_n95	54.831	40.57	73.51	0
t_n96	154.397	125.17	190.92	0
t_n97	90.875	64.24	123.19	0
t_n98	75.939	52.68	104.84	0
t_n99	59.41	37.14	86.55	0
t_n100	6.872	3.86	11.69	0
t_n101	138.128	45.89	247.57	0
t_n102	75.137	22.11	152.8	0
t_n103_ASTROPHORINA	301.156	262.8	347.8	L(1.9900,0.1000,0.5000,1e-300)
t_n104	228.969	206.06	263.14	0
t_n105_GEODIA	171.763	163.22	195.41	L(1.6300,0.1000,0.5000,1e-300)
t_n106	50.669	28.98	77.85	0
t_n107	118.111	96.21	142.55	0
t_n108	98.785	77.75	122.32	0
t_n109	62.483	44.85	83.12	0
t_n110	32.935	21.61	47.48	0
t_n111	2.029	0.97	3.61	0
t_n112_SPONGILLIDA	474.774	447.87	509.98	L(2.9800,0.1000,0.5000,1e-300)
t_n113	219.367	115.68	344.21	0
t_n114	356.95	314.19	391.07	0
t_n115	338.308	293.15	375.44	0
t_n116	306.762	260.82	346.49	0
t_n117	160.954	119.87	200.43	0
t_n118	102.712	74.65	136.52	0
t_n119	435.766	336.49	476.67	0
t_n120	379.703	259.81	442.81	0
t_n121	546.872	523.89	625.72	0
t_n122	134.912	36.46	304.08	0
t_n123	71.231	18.42	173.23	0
t_n124	47.462	11.65	120.4	0
t_n125	293.536	147.97	408.53	0
t_n126	154.097	66	252.63	0
t_n127	121.795	50.2	208.24	0
t_n128_HEXACTINELLIDA	450.49	445.09	473.74	L(4.4500,0.1000,0.5000,1e-300)
t_n129	436.05	418.11	462.3	0
t_n130	644.62	564.51	848.88	0
t_n131	552.475	440.98	731.79	0
t_n132	315.352	93.31	474.87	0
t_n133	125.17	26.68	268.21	0
t_n134	222.356	55.46	395.36	0
t_n135_EUMETAZOA	577.613	570.97	594.01	B(5.6100,5.7310,0.0250,1e-300)
t_n136	146.064	33.2	342.94	0
t_n137	567.359	554.31	594.01	0
t_n138_BILATERIA	533.384	532.03	537.53	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	535.069	531.85	542.14	L(5.3180,0.1000,0.1000,1e-300)
