Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	610.315	605.92	616.91	B(5.7400,6.0900,1e-300,0.0250)
t_n72	608.138	601.3	615.32	0
t_n73	581.288	570.3	591.32	0
t_n74	547.883	536.53	559.17	0
t_n75_HETEROSCLEROMORPHA	516.905	515.05	521.97	L(5.1500,0.5000,0.5000,1e-300)
t_n76	447.309	412.61	478.57	0
t_n77	403.951	368.75	438.04	0
t_n78	373.428	338.39	408.31	0
t_n79	338.08	305.31	372.19	0
t_n80	126.527	59.98	215.67	0
t_n81	322.887	290.87	356.77	0
t_n82	296.733	267.19	330.03	0
t_n83_THETHYA	252.87	199.04	295.9	L(0.3780,0.1000,0.5000,1e-300)
t_n84	49.452	24.03	91.25	0
t_n85	280.107	251.82	312.48	0
t_n86	184.903	136.41	236.04	0
t_n87	115.62	78.06	158.71	0
t_n88_POECILOSCLERIDA	213.195	199.74	236.53	L(1.9900,0.1000,0.5000,1e-300)
t_n89	190.382	169.92	214.39	0
t_n90	173.422	153	197.6	0
t_n91	141.298	120.69	163.96	0
t_n92	113.475	94.44	134.56	0
t_n93	97.572	79.51	118.07	0
t_n94_PHORBAS	72.542	56.28	92.04	L(0.3780,0.1000,0.5000,1e-300)
t_n95	50.735	35.93	68.78	0
t_n96	155.672	130	182.52	0
t_n97	93.13	72.97	115.65	0
t_n98	74.793	55.94	96.3	0
t_n99	60.986	42.52	82.7	0
t_n100	5.695	3.43	8.9	0
t_n101	73.476	51.51	103.05	0
t_n102	36.565	23.06	55.3	0
t_n103_ASTROPHORINA	263.023	231.07	299.37	L(1.9900,0.1000,0.5000,1e-300)
t_n104	204.745	187.39	228.83	0
t_n105_GEODIA	167.654	163.13	179.28	L(1.6300,0.1000,0.5000,1e-300)
t_n106	30.069	18.53	46.3	0
t_n107	107.462	85.01	130.04	0
t_n108	87.836	67.81	110.28	0
t_n109	53.773	39.25	71.69	0
t_n110	26.775	17.55	38.97	0
t_n111	1.888	1.04	3.12	0
t_n112_SPONGILLIDA	378.697	325.85	424.69	L(2.9800,0.1000,0.5000,1e-300)
t_n113	87.099	52.42	135.13	0
t_n114	94.741	71.52	123.21	0
t_n115	75.801	52.9	103.46	0
t_n116	47.652	31.88	68.43	0
t_n117	5.56	3.86	7.72	0
t_n118	3.619	2.35	5.3	0
t_n119	326.227	246.5	403.84	0
t_n120	237.875	159.76	321.1	0
t_n121	482.105	430.44	521.85	0
t_n122	170.707	126.91	227.91	0
t_n123	83.447	60.14	112.7	0
t_n124	53.595	34.93	78.44	0
t_n125	242.798	180.75	310.25	0
t_n126	127.479	92.17	168.66	0
t_n127	95.455	64.34	133.71	0
t_n128_HEXACTINELLIDA	448.388	445.09	457.3	L(4.4500,0.1000,0.5000,1e-300)
t_n129	432.639	411.66	446.13	0
t_n130	534.489	487.64	566.54	0
t_n131	332.443	228.57	429.15	0
t_n132	281.402	213.89	351.7	0
t_n133	102.883	66.28	149.85	0
t_n134	156.706	105.05	217	0
t_n135_EUMETAZOA	572.19	569.82	573.07	B(5.6100,5.7310,0.0250,1e-300)
t_n136	129.759	74.81	201.71	0
t_n137	558.605	554.02	562.85	0
t_n138_BILATERIA	533.511	532.04	537.29	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	533.606	531.85	538.05	L(5.3180,0.1000,0.1000,1e-300)
