Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	610.317	605.92	616.89	B(5.7400,6.0900,1e-300,0.0250)
t_n72	608.135	601.26	615.31	0
t_n73	581.276	570.22	591.27	0
t_n74	547.869	536.55	559.08	0
t_n75_HETEROSCLEROMORPHA	516.899	515.05	521.95	L(5.1500,0.5000,0.5000,1e-300)
t_n76	447.075	412.78	478.12	0
t_n77	403.617	368.46	437.44	0
t_n78	373.072	338.1	407.7	0
t_n79	337.726	305.24	371.58	0
t_n80	126.958	60.02	218.78	0
t_n81	322.539	290.84	356.12	0
t_n82	296.399	267.09	328.92	0
t_n83_THETHYA	252.749	200.01	294.98	L(0.3780,0.1000,0.5000,1e-300)
t_n84	49.46	24.07	91.07	0
t_n85	279.803	251.72	311.72	0
t_n86	184.637	136.4	235.68	0
t_n87	115.627	77.9	158.68	0
t_n88_POECILOSCLERIDA	213.045	199.71	236.33	L(1.9900,0.1000,0.5000,1e-300)
t_n89	190.263	169.96	214.33	0
t_n90	173.344	153.01	197.48	0
t_n91	141.278	120.83	163.96	0
t_n92	113.463	94.51	134.56	0
t_n93	97.56	79.56	118.03	0
t_n94_PHORBAS	72.547	56.29	91.85	L(0.3780,0.1000,0.5000,1e-300)
t_n95	50.802	35.89	68.73	0
t_n96	155.465	129.73	182.41	0
t_n97	92.913	72.6	115.48	0
t_n98	74.604	55.72	96.2	0
t_n99	60.785	42.3	82.41	0
t_n100	5.697	3.44	8.9	0
t_n101	73.365	51.43	102.26	0
t_n102	36.496	23	54.93	0
t_n103_ASTROPHORINA	262.949	230.96	299.31	L(1.9900,0.1000,0.5000,1e-300)
t_n104	204.696	187.31	228.95	0
t_n105_GEODIA	167.64	163.12	179.37	L(1.6300,0.1000,0.5000,1e-300)
t_n106	30.023	18.54	46.3	0
t_n107	107.408	84.94	130.02	0
t_n108	87.813	67.72	110.04	0
t_n109	53.788	39.22	71.76	0
t_n110	26.756	17.5	38.95	0
t_n111	1.886	1.05	3.11	0
t_n112_SPONGILLIDA	378.463	325.89	424.45	L(2.9800,0.1000,0.5000,1e-300)
t_n113	86.879	52.27	134.91	0
t_n114	94.326	71.22	122.59	0
t_n115	75.394	52.62	103	0
t_n116	47.44	31.71	68.16	0
t_n117	5.563	3.87	7.74	0
t_n118	3.621	2.36	5.32	0
t_n119	325.491	245.62	404.06	0
t_n120	236.886	158.67	320.7	0
t_n121	482.006	430.56	521.58	0
t_n122	170.489	127.28	227.27	0
t_n123	83.4	60.21	112.49	0
t_n124	53.6	34.97	78.29	0
t_n125	242.7	180.71	310.5	0
t_n126	127.298	92.41	168.3	0
t_n127	95.372	64.37	133.63	0
t_n128_HEXACTINELLIDA	448.366	445.09	457.24	L(4.4500,0.1000,0.5000,1e-300)
t_n129	423.041	119.37	445.9	0
t_n130	534.369	487.43	566.28	0
t_n131	331.7	227.34	428.61	0
t_n132	280.862	213.34	350.99	0
t_n133	102.639	66.27	149.19	0
t_n134	156.428	105.12	216.07	0
t_n135_EUMETAZOA	572.191	569.84	573.07	B(5.6100,5.7310,0.0250,1e-300)
t_n136	129.64	74.7	201.46	0
t_n137	558.598	554.03	562.83	0
t_n138_BILATERIA	533.515	532.04	537.32	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	533.602	531.85	538.05	L(5.3180,0.1000,0.1000,1e-300)
