Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	587.641	581.39	595.25	B(5.7400,6.0900,1e-300,0.0250)
t_n72_PORIFERA	586.586	578.79	594.59	L(5.1500,0.5000,0.5000,1e-300)
t_n73	559.951	551.55	567.69	0
t_n74	520.579	503.28	535.02	0
t_n75	479.364	455.96	500.69	0
t_n76	456.313	431.08	480.01	0
t_n77	434.377	407.97	459.28	0
t_n78	416.176	388.49	442.35	0
t_n79	388.33	357.39	417.34	0
t_n80	202.386	99.8	308.88	0
t_n81	374.188	342.07	404.57	0
t_n82	347.02	313.96	379.31	0
t_n83_THETHYA	315.936	281.05	351.02	L(0.3780,0.1000,0.5000,1e-300)
t_n84	108.33	53.71	174.79	0
t_n85	330.854	297.89	364.01	0
t_n86	247.972	186.65	299.89	0
t_n87	165.207	112.14	218.35	0
t_n88_POECILOSCLERIDA	212.59	199.41	240.17	L(1.9900,0.1000,0.5000,1e-300)
t_n89	192.825	176.82	220.16	0
t_n90	177.225	159.44	204.31	0
t_n91	141.589	119.98	168.11	0
t_n92	111.74	90.5	136.84	0
t_n93	96.071	76.51	119.41	0
t_n94_PHORBAS	74.291	57.61	94.9	L(0.3780,0.1000,0.5000,1e-300)
t_n95	54.232	40.57	71.68	0
t_n96	157.111	134.25	185.67	0
t_n97	94.913	72.38	120.65	0
t_n98	79.37	59.08	102.81	0
t_n99	64.237	46.69	85.04	0
t_n100	6.994	4	11.56	0
t_n101	143.841	65.09	230.21	0
t_n102	79.325	32.34	141.67	0
t_n103_ASTROPHORINA	290.797	257.3	330.42	L(1.9900,0.1000,0.5000,1e-300)
t_n104	225.269	203.77	256.23	0
t_n105_GEODIA	171.826	163.22	193.93	L(1.6300,0.1000,0.5000,1e-300)
t_n106	54.084	32.7	80.15	0
t_n107	120.904	101.35	142.95	0
t_n108	101.644	82.52	122.86	0
t_n109	65.623	49.6	84	0
t_n110	35.189	24.76	48.29	0
t_n111	2.232	1.26	3.74	0
t_n112_SPONGILLIDA	433.722	407.5	459.41	L(2.9800,0.1000,0.5000,1e-300)
t_n113	194.3	106.81	306.48	0
t_n114	327.482	294.99	359.8	0
t_n115	309.857	275.13	344.41	0
t_n116	281.559	247.13	316.9	0
t_n117	152.267	124.47	183.33	0
t_n118	87.932	64.23	116.5	0
t_n119	397.502	338.15	444.03	0
t_n120	341.744	265.18	404.88	0
t_n121	500.244	477.51	519.44	0
t_n122	172.572	69.01	313.43	0
t_n123	92.724	33.67	187.79	0
t_n124	62.607	21.75	133.52	0
t_n125	287.991	177.67	373.04	0
t_n126	155.17	85.78	227.96	0
t_n127	122.447	65.41	188.14	0
t_n128_HEXACTINELLIDA	447.308	445.06	453.36	L(4.4500,0.1000,0.5000,1e-300)
t_n129	434.484	422.5	443.89	0
t_n130	566.379	556.69	574.07	0
t_n131	493.625	420.18	535.63	0
t_n132	347.621	157.52	460.38	0
t_n133	141.306	49.76	264.43	0
t_n134	247.368	96.14	381.18	0
t_n135_EUMETAZOA	572.138	569.63	573.08	B(5.6100,5.7310,0.0250,1e-300)
t_n136	178.163	65.34	352.78	0
t_n137	556.568	553.43	559.54	0
t_n138_BILATERIA	533.696	532.05	537.65	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	536.527	532.1	542.54	L(5.3180,0.1000,0.1000,1e-300)
