Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	634.088	581.7	915.02	B(5.7400,6.0900,1e-300,0.0250)
t_n72_PORIFERA	630.945	579.23	900.15	L(5.1500,0.5000,0.5000,1e-300)
t_n73	593.043	552	807.62	0
t_n74	494.721	352.61	534.72	0
t_n75	454.656	323.85	499.96	0
t_n76	433.001	310.81	479.17	0
t_n77	412.884	300.27	458.25	0
t_n78	396.173	290.91	441.29	0
t_n79	370.566	275.72	416.1	0
t_n80	198.349	94.51	306.46	0
t_n81	357.902	270.18	403.29	0
t_n82	333.322	258.07	378.06	0
t_n83_THETHYA	304.862	241.52	349.73	L(0.3780,0.1000,0.5000,1e-300)
t_n84	112.309	54.28	184.46	0
t_n85	318.617	250.41	362.73	0
t_n86	242.265	177.59	298.15	0
t_n87	163.833	109.47	216.56	0
t_n88_POECILOSCLERIDA	210.868	199.26	238.83	L(1.9900,0.1000,0.5000,1e-300)
t_n89	191.772	176.47	218.84	0
t_n90	176.77	159.29	202.91	0
t_n91	141.479	118.07	167.41	0
t_n92	111.5	87.24	137.85	0
t_n93	95.899	73.57	121.04	0
t_n94_PHORBAS	74.694	55.97	98.14	L(0.3780,0.1000,0.5000,1e-300)
t_n95	55.107	39.9	76.58	0
t_n96	155.106	125.53	184.16	0
t_n97	92.524	62.55	119.52	0
t_n98	77.532	51.78	102.05	0
t_n99	61.968	37.65	84.18	0
t_n100	7.412	4.01	13.85	0
t_n101	127.739	19.04	226.96	0
t_n102	70.165	9.08	139.47	0
t_n103_ASTROPHORINA	282.449	229.52	329.09	L(1.9900,0.1000,0.5000,1e-300)
t_n104	222.077	196.79	254.91	0
t_n105_GEODIA	171.189	163.19	192.59	L(1.6300,0.1000,0.5000,1e-300)
t_n106	54.811	31.84	83.64	0
t_n107	118.164	79.33	141.98	0
t_n108	99.242	64.05	122.29	0
t_n109	63.618	37.22	83.71	0
t_n110	34.158	19.03	48.39	0
t_n111	2.197	1.01	3.9	0
t_n112_SPONGILLIDA	412.065	299.04	458.52	L(2.9800,0.1000,0.5000,1e-300)
t_n113	195.753	107.58	301.51	0
t_n114	310.695	215.39	358.46	0
t_n115	294.168	202.97	342.99	0
t_n116	266.967	180.29	315.28	0
t_n117	143.705	87.53	181.95	0
t_n118	84.802	54.38	115.23	0
t_n119	377.881	260.83	441.97	0
t_n120	325.831	213.92	402.52	0
t_n121	474.05	332.03	518.91	0
t_n122	146.228	12.45	306.38	0
t_n123	78.298	6.22	180.5	0
t_n124	52.75	3.96	127.26	0
t_n125	261.676	80.49	370.26	0
t_n126	139.763	36.4	224.72	0
t_n127	110.445	28.69	184.97	0
t_n128_HEXACTINELLIDA	451.589	445.07	500.33	L(4.4500,0.1000,0.5000,1e-300)
t_n129	438.911	422.44	490.14	0
t_n130	477.836	23.27	573.74	0
t_n131	415.341	15.4	535.17	0
t_n132	294.375	11.65	457.87	0
t_n133	119.855	3.67	260.73	0
t_n134	209.606	6.99	378.09	0
t_n135_EUMETAZOA	573.564	569.81	580.68	B(5.6100,5.7310,0.0250,1e-300)
t_n136	159.174	21.38	347.01	0
t_n137	560.589	553.57	580.68	0
t_n138_BILATERIA	533.493	532.03	537.41	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	535.813	531.86	542.29	L(5.3180,0.1000,0.1000,1e-300)
