Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	608.582	603.28	613.15	B(5.7400,6.0900,1e-300,0.0250)
t_n72_PORIFERA	602.821	590.34	610.68	L(5.1500,0.5000,0.5000,1e-300)
t_n73	561.092	542.68	575.87	0
t_n74	491.825	462.67	519.67	0
t_n75	426.204	396.53	454.95	0
t_n76	387.255	359.79	414.91	0
t_n77	356.451	330.46	383.55	0
t_n78	332.509	307.43	359.25	0
t_n79	305.303	282.35	330.66	0
t_n80	120.702	57.97	202.37	0
t_n81	292.378	270.1	317.26	0
t_n82	271.005	250.84	294.45	0
t_n83_THETHYA	228.79	186.07	263.73	L(0.3780,0.1000,0.5000,1e-300)
t_n84	45.963	23	82.93	0
t_n85	256.913	237.85	279.57	0
t_n86	173.353	130.76	213.96	0
t_n87	108.812	75.22	146.6	0
t_n88_POECILOSCLERIDA	205.294	199.21	219.24	L(1.9900,0.1000,0.5000,1e-300)
t_n89	183.281	166.16	199.54	0
t_n90	167.081	150.1	184.3	0
t_n91	135.932	117.78	154.46	0
t_n92	109.163	91.81	127.4	0
t_n93	93.894	77.43	111.69	0
t_n94_PHORBAS	70.024	54.79	87.4	L(0.3780,0.1000,0.5000,1e-300)
t_n95	49.089	35.03	65.46	0
t_n96	149.998	126.43	171.73	0
t_n97	88.803	69.76	109.63	0
t_n98	71.422	53.88	91.33	0
t_n99	58.179	41	78.07	0
t_n100	5.358	3.31	8.22	0
t_n101	68.219	48.26	94.21	0
t_n102	34.13	21.91	50.78	0
t_n103_ASTROPHORINA	249.583	224.9	277.02	L(1.9900,0.1000,0.5000,1e-300)
t_n104	199.961	185.43	219.12	0
t_n105_GEODIA	166.7	163.1	176.04	L(1.6300,0.1000,0.5000,1e-300)
t_n106	28.366	17.61	43.29	0
t_n107	103.253	81.47	126.24	0
t_n108	84.37	64.9	106.33	0
t_n109	51.263	37.5	67.97	0
t_n110	25.478	16.86	36.71	0
t_n111	1.788	1.01	2.93	0
t_n112_SPONGILLIDA	330.911	301.03	366.72	L(2.9800,0.1000,0.5000,1e-300)
t_n113	80.812	49.96	123.92	0
t_n114	87.71	66.94	113.02	0
t_n115	70.025	49.56	95.19	0
t_n116	44.267	29.96	62.55	0
t_n117	5.292	3.73	7.29	0
t_n118	3.415	2.25	4.93	0
t_n119	276.571	213.8	336.29	0
t_n120	198.845	142.11	263.92	0
t_n121	432.272	390.96	470.4	0
t_n122	161.414	122.02	209.26	0
t_n123	78.792	57.86	104.96	0
t_n124	50.749	33.8	72.88	0
t_n125	221.766	169.77	281.75	0
t_n126	118.131	87.8	154.84	0
t_n127	88.413	61.29	122.31	0
t_n128_HEXACTINELLIDA	447.732	445.07	454.99	L(4.4500,0.1000,0.5000,1e-300)
t_n129	433.117	415.1	444.85	0
t_n130	532.548	480.93	562.42	0
t_n131	324.35	224.87	421.58	0
t_n132	271.411	207.53	337.36	0
t_n133	97.804	63.93	141.51	0
t_n134	152.246	102.27	208.33	0
t_n135_EUMETAZOA	572.198	569.91	573.08	B(5.6100,5.7310,0.0250,1e-300)
t_n136	125.961	72.69	195.46	0
t_n137	558.524	554.03	562.73	0
t_n138_BILATERIA	533.43	532.04	537.03	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	533.492	531.85	537.66	L(5.3180,0.1000,0.1000,1e-300)
