Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	608.581	603.25	613.16	B(5.7400,6.0900,1e-300,0.0250)
t_n72_PORIFERA	602.795	590.29	610.68	L(5.1500,0.5000,0.5000,1e-300)
t_n73	561.015	542.46	575.81	0
t_n74	491.575	462.18	519.47	0
t_n75	425.889	396.17	454.94	0
t_n76	386.814	359.48	414.61	0
t_n77	355.954	330.18	383.13	0
t_n78	332.023	307.1	358.74	0
t_n79	304.846	282.12	329.97	0
t_n80	120.548	57.9	202.72	0
t_n81	291.944	269.87	316.69	0
t_n82	270.629	250.65	293.84	0
t_n83_THETHYA	228.512	185.86	263.28	L(0.3780,0.1000,0.5000,1e-300)
t_n84	45.505	22.79	81.94	0
t_n85	256.576	237.65	279.05	0
t_n86	172.928	130.39	213.6	0
t_n87	108.48	74.72	146.51	0
t_n88_POECILOSCLERIDA	205.159	199.2	218.79	L(1.9900,0.1000,0.5000,1e-300)
t_n89	183.125	166.03	199.29	0
t_n90	166.941	149.97	184.06	0
t_n91	135.819	117.57	154.48	0
t_n92	109.05	91.57	127.4	0
t_n93	93.799	77.22	111.72	0
t_n94_PHORBAS	69.956	54.61	87.4	L(0.3780,0.1000,0.5000,1e-300)
t_n95	49.045	34.92	65.45	0
t_n96	149.809	126.26	171.46	0
t_n97	88.533	69.69	109.36	0
t_n98	71.182	53.81	91.06	0
t_n99	57.992	40.92	77.72	0
t_n100	5.338	3.29	8.19	0
t_n101	68.079	48.24	94.01	0
t_n102	34.067	21.91	50.68	0
t_n103_ASTROPHORINA	249.319	224.58	276.75	L(1.9900,0.1000,0.5000,1e-300)
t_n104	199.832	185.35	218.93	0
t_n105_GEODIA	166.667	163.1	175.92	L(1.6300,0.1000,0.5000,1e-300)
t_n106	28.316	17.63	43.16	0
t_n107	103.033	81.22	125.95	0
t_n108	84.167	64.64	106.05	0
t_n109	51.166	37.44	67.74	0
t_n110	25.447	16.85	36.66	0
t_n111	1.783	1	2.92	0
t_n112_SPONGILLIDA	330.604	300.99	366.13	L(2.9800,0.1000,0.5000,1e-300)
t_n113	80.424	49.74	123.25	0
t_n114	87.374	66.8	112.61	0
t_n115	69.726	49.37	94.74	0
t_n116	44.102	29.92	62.34	0
t_n117	5.274	3.72	7.26	0
t_n118	3.395	2.24	4.9	0
t_n119	276.463	214.44	335.56	0
t_n120	198.861	142.88	263.43	0
t_n121	432.195	390.66	470.47	0
t_n122	161.048	121.52	209.03	0
t_n123	78.506	57.55	104.48	0
t_n124	50.533	33.64	72.65	0
t_n125	221.43	169.35	281.46	0
t_n126	117.882	87.59	154.76	0
t_n127	88.245	61.16	122.21	0
t_n128_HEXACTINELLIDA	447.753	445.07	455.11	L(4.4500,0.1000,0.5000,1e-300)
t_n129	373.172	53.69	444.34	0
t_n130	532.594	481.25	562.39	0
t_n131	323.876	224.83	421.65	0
t_n132	270.901	207.06	336.19	0
t_n133	97.592	63.91	141.3	0
t_n134	151.987	102.11	207.99	0
t_n135_EUMETAZOA	572.198	569.9	573.08	B(5.6100,5.7310,0.0250,1e-300)
t_n136	125.928	72.73	195.28	0
t_n137	558.525	554.04	562.73	0
t_n138_BILATERIA	533.427	532.04	537.02	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	533.493	531.85	537.66	L(5.3180,0.1000,0.1000,1e-300)
