Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	593.923	575.25	609.29	B(5.7400,6.0900,1e-300,0.0250)
t_n72	582.84	559.5	606.78	0
t_n73	576.403	550.21	604.42	0
t_n74	571.031	539.12	602.23	0
t_n75_HETEROSCLEROMORPHA	563.555	521.84	599.75	L(5.1500,0.5000,0.5000,1e-300)
t_n76	549.881	460.98	588.58	0
t_n77	531.556	370.05	579.03	0
t_n78	504.131	298.23	572.18	0
t_n79	469.22	259	568.94	0
t_n80	163.058	6.57	541.07	0
t_n81	428.732	237.58	565.31	0
t_n82	385.929	223.56	560.07	0
t_n83_THETHYA	82.326	40.47	211.56	L(0.3780,0.1000,0.5000,1e-300)
t_n84	48.448	2.47	136.24	0
t_n85	340.171	212.72	549.09	0
t_n86	165.674	29.75	419.93	0
t_n87	73.18	2.66	247.18	0
t_n88_POECILOSCLERIDA	276.864	201.87	455.67	L(1.9900,0.1000,0.5000,1e-300)
t_n89	204.439	52.62	368.34	0
t_n90	157.558	46.21	311.88	0
t_n91	122.431	43.51	268.84	0
t_n92	95.514	41.59	230.37	0
t_n93	74.276	39.96	185.72	0
t_n94_PHORBAS	55.198	38.23	118.2	L(0.3780,0.1000,0.5000,1e-300)
t_n95	26.97	1.24	70.06	0
t_n96	188.901	47.9	356.12	0
t_n97	133.863	40.21	292.43	0
t_n98	94.567	23.66	242.06	0
t_n99	50.488	2.01	167.7	0
t_n100	50.441	2.02	168.02	0
t_n101	257.193	37.53	560.27	0
t_n102	100.128	3.39	396.55	0
t_n103_ASTROPHORINA	339.133	211.66	541.01	L(1.9900,0.1000,0.5000,1e-300)
t_n104	278.301	183.35	481.71	0
t_n105_GEODIA	220.551	165.3	347.59	L(1.6300,0.1000,0.5000,1e-300)
t_n106	83.687	4.21	236.12	0
t_n107	146.51	44.33	285.96	0
t_n108	105.675	35.22	240.83	0
t_n109	78.227	19.82	196.82	0
t_n110	56.056	7.74	154.68	0
t_n111	32.481	0.84	105.09	0
t_n112_SPONGILLIDA	416.344	303.84	563.39	L(2.9800,0.1000,0.5000,1e-300)
t_n113	144.017	6.32	458.92	0
t_n114	280.138	56.61	545.83	0
t_n115	109.905	4.92	349.5	0
t_n116	174.457	39.83	450.27	0
t_n117	102.501	15.33	294.97	0
t_n118	51.792	1.55	192.39	0
t_n119	313.736	40.17	570.35	0
t_n120	120.435	3.73	530.43	0
t_n121	491.907	197.38	588.6	0
t_n122	310.781	46.34	567.47	0
t_n123	165.098	22.02	542.6	0
t_n124	72.264	2.25	282.13	0
t_n125	310.765	46.55	567.7	0
t_n126	165.996	22.06	543.56	0
t_n127	72.447	2.18	282.39	0
t_n128_HEXACTINELLIDA	511.852	448.32	587.88	L(4.4500,0.1000,0.5000,1e-300)
t_n129	167.102	6.39	543.63	0
t_n130	481.919	137.28	595.96	0
t_n131	183.433	6.55	562.85	0
t_n132	310.216	45.27	570.45	0
t_n133	120.02	4.23	519.63	0
t_n134	118.824	4.41	516.53	0
t_n135_EUMETAZOA	567.942	561.24	572.91	B(5.6100,5.7310,0.0250,1e-300)
t_n136	228.958	7.98	566.81	0
t_n137	561.751	544.44	571.65	0
t_n138_BILATERIA	550.021	533.01	568.88	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	549.953	532.79	568.98	L(5.3180,0.1000,0.1000,1e-300)
