Mean_time	Mean_qlow	Mean_qup	Priors
t_n71_ROOT	596.221	576.38	609.5	B(5.7400,6.0900,1e-300,0.0250)
t_n72_PORIFERA	579.928	553.71	603.7	L(5.1500,0.5000,0.5000,1e-300)
t_n73	571.42	547.18	596.54	0
t_n74	565.896	538.34	590.22	0
t_n75	559.643	509.78	584.15	0
t_n76	550.869	456.14	578.4	0
t_n77	534.162	372.43	573.21	0
t_n78	506.22	298.01	570.63	0
t_n79	470.868	258.74	568.2	0
t_n80	163.033	6.3	541.77	0
t_n81	429.804	236.63	564.83	0
t_n82	386.332	223.54	559.75	0
t_n83_THETHYA	82.106	40.28	211.72	L(0.3780,0.1000,0.5000,1e-300)
t_n84	48.306	2.54	134.89	0
t_n85	340.365	213	548.33	0
t_n86	164.796	29.78	417.64	0
t_n87	72.248	2.76	245.48	0
t_n88_POECILOSCLERIDA	277.516	202	456.1	L(1.9900,0.1000,0.5000,1e-300)
t_n89	204.287	52.82	368.66	0
t_n90	157.183	45.76	312.56	0
t_n91	121.939	43.7	267.92	0
t_n92	94.9	41.67	227.44	0
t_n93	73.734	39.88	184.34	0
t_n94_PHORBAS	54.883	38.21	116.69	L(0.3780,0.1000,0.5000,1e-300)
t_n95	26.827	1.2	69.79	0
t_n96	188.785	47.62	355.66	0
t_n97	133.253	39.68	292.67	0
t_n98	93.921	23.41	240.52	0
t_n99	50.023	1.96	165.7	0
t_n100	50	1.97	165.21	0
t_n101	256.78	37.06	560.27	0
t_n102	99.562	3.41	390.78	0
t_n103_ASTROPHORINA	340.35	211.53	541.93	L(1.9900,0.1000,0.5000,1e-300)
t_n104	278.984	183.58	482.31	0
t_n105_GEODIA	220.655	165.28	349.87	L(1.6300,0.1000,0.5000,1e-300)
t_n106	83.46	4.26	235.51	0
t_n107	145.968	44.49	286.28	0
t_n108	104.957	35.16	238.07	0
t_n109	77.571	19.98	195.38	0
t_n110	55.66	7.98	153.36	0
t_n111	32.403	0.86	104.39	0
t_n112_SPONGILLIDA	417.259	303.92	562.67	L(2.9800,0.1000,0.5000,1e-300)
t_n113	143.03	5.97	456.84	0
t_n114	280.294	56.14	545.39	0
t_n115	109.623	4.74	349.17	0
t_n116	174.802	39.08	448.33	0
t_n117	102.39	15.4	296.63	0
t_n118	51.618	1.59	191.78	0
t_n119	314.776	39.99	568.83	0
t_n120	120.336	3.76	531.76	0
t_n121	492.987	199.32	577.16	0
t_n122	311.947	46.3	567.09	0
t_n123	165.505	21.51	543.53	0
t_n124	71.828	2.22	281.9	0
t_n125	311.584	46.24	566.78	0
t_n126	165.222	21.73	543.37	0
t_n127	71.783	2.2	281.32	0
t_n128_HEXACTINELLIDA	512.786	448.46	578.71	L(4.4500,0.1000,0.5000,1e-300)
t_n129	166.782	6.44	543.69	0
t_n130	482.162	140.14	585.42	0
t_n131	184.198	6.68	562.72	0
t_n132	312.083	45.2	568.89	0
t_n133	119.89	4.34	519.81	0
t_n134	120.164	4.32	521.31	0
t_n135_EUMETAZOA	567.582	561.15	572.87	B(5.6100,5.7310,0.0250,1e-300)
t_n136	230.082	7.83	566.56	0
t_n137	561.654	545.01	571.54	0
t_n138_BILATERIA	550.622	533.1	568.7	L(5.3200,0.1000,0.1000,1e-300)
t_n139_CNIDARIA	550.54	532.89	568.65	L(5.3180,0.1000,0.1000,1e-300)
